city,lat,lng,country,population
Tokyo,35.6897,139.6922,Japan,37977000.0
Jakarta,-6.2146,106.8451,Indonesia,34540000.0
Delhi,28.66,77.23,India,29617000.0
Mumbai,18.9667,72.8333,India,23355000.0
Manila,14.6,120.9833,Philippines,23088000.0
Shanghai,31.1667,121.4667,China,22120000.0
São Paulo,-23.5504,-46.6339,Brazil,22046000.0
Seoul,37.56,126.99,"Korea, South",21794000.0
Mexico City,19.4333,-99.1333,Mexico,20996000.0
Guangzhou,23.1288,113.259,China,20902000.0
Beijing,39.905,116.3914,China,19433000.0
Cairo,30.0561,31.2394,Egypt,19372000.0
New York,40.6943,-73.9249,United States,18713220.0
Kolkāta,22.5411,88.3378,India,17560000.0
Moscow,55.7558,37.6178,Russia,17125000.0
Bangkok,13.75,100.5167,Thailand,17066000.0
Buenos Aires,-34.5997,-58.3819,Argentina,16157000.0
Shenzhen,22.535,114.054,China,15929000.0
Dhaka,23.7289,90.3944,Bangladesh,15443000.0
Lagos,6.45,3.4,Nigeria,15279000.0
Istanbul,41.01,28.9603,Turkey,15154000.0
Ōsaka,34.75,135.4601,Japan,14977000.0
Karachi,24.86,67.01,Pakistan,14835000.0
Bangalore,12.9699,77.598,India,13707000.0
Tehran,35.7,51.4167,Iran,13633000.0
Kinshasa,-4.3233,15.3081,Congo (Kinshasa),13528000.0
Ho Chi Minh City,10.8167,106.6333,Vietnam,13312000.0
Los Angeles,34.1139,-118.4068,United States,12750807.0
Rio de Janeiro,-22.9083,-43.1964,Brazil,12272000.0
Nanyang,32.9987,112.5292,China,12010000.0
Baoding,38.8671,115.4845,China,11860000.0
Chennai,13.0825,80.275,India,11324000.0
Chengdu,30.66,104.0633,China,11309000.0
Lahore,31.5497,74.3436,Pakistan,11021000.0
Paris,48.8566,2.3522,France,11020000.0
London,51.5072,-0.1275,United Kingdom,10979000.0
Linyi,35.0606,118.3425,China,10820000.0
Tianjin,39.1467,117.2056,China,10800000.0
Shijiazhuang,38.0422,114.5086,China,10784600.0
Zhoukou,33.625,114.6418,China,9901000.0
Lima,-12.05,-77.0333,Peru,9848000.0
Hyderābād,17.3667,78.4667,India,9746000.0
Handan,36.6116,114.4894,China,9549700.0
Bogotá,4.6126,-74.0705,Colombia,9464000.0
Weifang,36.7167,119.1,China,9373000.0
Nagoya,35.1167,136.9333,Japan,9113000.0
